#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,Dissolved_Oxygen_mg_per_L,Elapsed_Minute,Methods_Deviation
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,36,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,38,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,40,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,42,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,44,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,46,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,48,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,50,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,52,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,54,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,56,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,58,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,60,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,62,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,64,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,66,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,68,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,70,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,72,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,74,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,76,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,78,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,80,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,82,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,84,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,86,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,88,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,90,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,92,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,94,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,96,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,98,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,100,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,102,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,104,DTL_003
N/A,EV_007_INC-W4,10.58052/IEWDR023E,Sediment,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,106,DTL_003
N/A,EV_007_INC-W5,10.58052/IEWDR023E,Sediment,-9999,-9999,INC_Method_001
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.82,0,RATE_004
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.89,2,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,11.05,4,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.83,6,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.79,8,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.87,10,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.61,12,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.73,14,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.51,16,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.58,18,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.5,20,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.46,22,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.48,24,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.3,26,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.36,28,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.28,30,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.18,32,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.24,34,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.16,36,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.07,38,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10.03,40,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,10,42,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.97,44,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.91,46,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.86,48,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.85,50,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.68,52,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.69,54,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.52,56,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.67,58,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.55,60,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.5,62,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.44,64,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.37,66,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.34,68,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.22,70,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.32,72,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.06,74,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.18,76,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.98,78,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.07,80,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,9.04,82,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.99,84,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.95,86,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.83,88,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.87,90,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.78,92,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.78,94,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.63,96,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.66,98,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.6,100,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.62,102,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.6,104,N/A
N/A,EV_008_INC-D1,10.58052/IEWDR023F,Sediment,8.5,106,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.82,0,RATE_004
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,11.04,2,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,11.17,4,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.88,6,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,11.22,8,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.66,10,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.69,12,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.65,14,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.69,16,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.6,18,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.69,20,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.48,22,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.47,24,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.37,26,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.28,28,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.45,30,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.32,32,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.37,34,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.31,36,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.21,38,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.07,40,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.09,42,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.07,44,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.96,46,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,10.02,48,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.91,50,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.72,52,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.74,54,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.73,56,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.67,58,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.68,60,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.7,62,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.5,64,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.46,66,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.41,68,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.4,70,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.29,72,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.25,74,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.15,76,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.17,78,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.13,80,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.23,82,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.07,84,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.02,86,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.92,88,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.05,90,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,9.02,92,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.86,94,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.78,96,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.77,98,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.74,100,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.75,102,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.69,104,N/A
N/A,EV_008_INC-D2,10.58052/IEWDR023F,Sediment,8.63,106,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.82,0,RATE_004
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,11.75,2,RATE_006
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,11.49,4,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,11.36,6,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,11.08,8,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,11.09,10,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,11.17,12,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,11.01,14,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.97,16,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.86,18,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.92,20,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.84,22,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.93,24,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.61,26,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.59,28,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.55,30,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.57,32,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.64,34,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.46,36,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.33,38,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.14,40,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.23,42,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.22,44,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.3,46,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.3,48,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,10.18,50,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.99,52,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.91,54,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.78,56,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.9,58,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.84,60,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.75,62,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.6,64,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.54,66,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.56,68,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.51,70,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.64,72,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.56,74,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.44,76,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.2,78,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.15,80,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.15,82,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.25,84,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.25,86,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.13,88,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,9.08,90,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.92,92,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.85,94,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.83,96,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.85,98,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.89,100,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.94,102,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.86,104,N/A
N/A,EV_008_INC-D3,10.58052/IEWDR023F,Sediment,8.68,106,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.82,0,RATE_004
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,11.41,2,RATE_006
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,11.27,4,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,11.17,6,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.92,8,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.97,10,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.96,12,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.92,14,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.75,16,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.92,18,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.69,20,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.64,22,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.66,24,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.56,26,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.46,28,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.47,30,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.46,32,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.2,34,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.16,36,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.16,38,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.19,40,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.14,42,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,10.04,44,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.95,46,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.9,48,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.79,50,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.74,52,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.83,54,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.65,56,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.63,58,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.61,60,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.56,62,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.46,64,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.38,66,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.61,68,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.37,70,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.39,72,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.49,74,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.38,76,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.28,78,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.25,80,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.14,82,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.11,84,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.03,86,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9,88,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,9.02,90,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.84,92,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.81,94,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.86,96,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.85,98,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.78,100,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.74,102,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.73,104,N/A
N/A,EV_008_INC-D4,10.58052/IEWDR023F,Sediment,8.71,106,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,8.82,0,RATE_004
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,13.22,2,RATE_006
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,13.01,4,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,13.32,6,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,13.01,8,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.9,10,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.78,12,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.59,14,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.49,16,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.39,18,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.62,20,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.5,22,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.47,24,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,13.03,26,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.26,28,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.36,30,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.18,32,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.33,34,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,12.06,36,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,11.98,38,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,11.84,40,N/A
N/A,EV_008_INC-D5,10.58052/IEWDR023F,Sediment,11.95,42,N/A
