#Columns,16,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,SpC_microsiemens_per_cm,pH,Temperature_degC,Respiration_Rate_mg_DO_per_L_per_H,Respiration_Rate_mg_DO_per_kg_per_H,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Methods_Deviation
N/A,EV_016_INC-W4,10.58052/IEWDR023N,Sediment,793.3,6.85,20.8,-263.145,-3221.622,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_016_INC-W5,10.58052/IEWDR023N,Sediment,792.3,6.84,20.7,-263.145,-3236.508,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.097_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_017_INC-D1,10.58052/IEWDR023O,Sediment,210.7,7.15,20.1,-257.4,-1529.584,-9999,-9999,-9999,-9999,-9999,-9999,0.15,RATE_005
N/A,EV_017_INC-D2,10.58052/IEWDR023O,Sediment,217.9,7.14,20.4,-260.46,-1558.035,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_017_INC-D3,10.58052/IEWDR023O,Sediment,209,7.2,20.4,-255.6,-1528.384,-9999,-9999,-9999,-9999,-9999,-9999,0.21,RATE_005
N/A,EV_017_INC-D4,10.58052/IEWDR023O,Sediment,213.2,7.19,20.2,-258.6,-1550.131,-9999,-9999,-9999,-9999,-9999,-9999,0.11,RATE_005
N/A,EV_017_INC-D5,10.58052/IEWDR023O,Sediment,213.2,-9999,20.2,-249,-1515.48,-9999,-9999,-9999,-9999,-9999,-9999,0.43,PH_000; RATE_005
N/A,EV_017_INC-W1,10.58052/IEWDR023O,Sediment,226,7.36,20.4,-260.46,-1564.522,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_017_INC-W2,10.58052/IEWDR023O,Sediment,217.8,6.75,20.4,-260.46,-1558.921,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_017_INC-W3,10.58052/IEWDR023O,Sediment,217.8,7.08,20.5,-260.46,-1578.358,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_017_INC-W4,10.58052/IEWDR023O,Sediment,213.8,7.23,20.3,-260.46,-1572.242,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_017_INC-W5,10.58052/IEWDR023O,Sediment,214.9,7.15,20.4,-246.9,-1481.4,-9999,-9999,-9999,-9999,-9999,-9999,0.5,RATE_005
N/A,EV_019_INC-D1,10.58052/IEWDR023P,Sediment,680.3,-9999,20.3,-260.46,-1819.134,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,PH_000; DTL_003; RATE_005
N/A,EV_019_INC-D2,10.58052/IEWDR023P,Sediment,662.9,6.95,20.3,-260.46,-1800.188,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_019_INC-D3,10.58052/IEWDR023P,Sediment,692.2,6.93,20.4,-260.46,-1813.046,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_019_INC-D4,10.58052/IEWDR023P,Sediment,670.2,6.89,20.4,-260.46,-1838.923,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_019_INC-D5,10.58052/IEWDR023P,Sediment,655.1,7.91,20.4,-232.2,-1626.007,-9999,-9999,-9999,-9999,-9999,-9999,0.99,RATE_005
N/A,EV_019_INC-W1,10.58052/IEWDR023P,Sediment,655.3,6.9,20.3,-260.46,-1827.98,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_019_INC-W2,10.58052/IEWDR023P,Sediment,664.8,6.7,20.4,-260.46,-1799.635,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_019_INC-W3,10.58052/IEWDR023P,Sediment,636.5,6.51,20.4,-260.46,-1825.94,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_019_INC-W4,10.58052/IEWDR023P,Sediment,663.8,6.61,20.4,-260.46,-1816.428,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_019_INC-W5,10.58052/IEWDR023P,Sediment,670.9,6.9,20.4,-260.46,-1833.461,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-D1,10.58052/IEWDR023Q,Sediment,900.4,6.94,20.4,-260.46,-1388.493,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|0.04_mg_per_L_Raw_Not_Corrected|0.04mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-D2,10.58052/IEWDR023Q,Sediment,882.1,7.13,20.6,-260.46,-1442.486,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-D3,10.58052/IEWDR023Q,Sediment,885.4,7.15,20.7,-260.46,-1415.032,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-D4,10.58052/IEWDR023Q,Sediment,879.4,7.15,20.7,-247.2,-1348.387,-9999,-9999,-9999,-9999,-9999,-9999,0.49,RATE_005
N/A,EV_020_INC-D5,10.58052/IEWDR023Q,Sediment,881.6,7.14,20.7,-256.8,-1411.337,-9999,-9999,-9999,-9999,-9999,-9999,0.17,RATE_005
N/A,EV_020_INC-W1,10.58052/IEWDR023Q,Sediment,882.1,7.06,20.7,-260.46,-1404.767,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-W2,10.58052/IEWDR023Q,Sediment,871.2,7.16,20.6,-260.46,-1417.375,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-W3,10.58052/IEWDR023Q,Sediment,849.7,7.14,20.6,-260.46,-1407.609,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-W4,10.58052/IEWDR023Q,Sediment,856,7.13,20.7,-260.46,-1399.806,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_020_INC-W5,10.58052/IEWDR023Q,Sediment,834.3,7.15,20.7,-258.3,-1390.948,-9999,-9999,-9999,-9999,-9999,-9999,0.12,RATE_005
N/A,EV_021_INC-D1,10.58052/IEWDR023R,Sediment,837,7.79,20.8,-1.765,-5.982,0.78,0.764,0.0042,30,16,39,8.86,N/A
N/A,EV_021_INC-D2,10.58052/IEWDR023R,Sediment,808.7,7.65,20.3,-0.811,-2.77,0.945,0.944,0.0005,106,54,1,8.98,N/A
N/A,EV_021_INC-D3,10.58052/IEWDR023R,Sediment,833.4,7.47,20.9,-1.113,-3.762,0.885,0.878,0.0016,36,19,36,7.75,N/A
N/A,EV_021_INC-D4,10.58052/IEWDR023R,Sediment,825.7,7.44,20.8,-0.892,-3.005,0.932,0.931,0.0006,106,54,1,9.19,N/A
N/A,EV_021_INC-D5,10.58052/IEWDR023R,Sediment,823.8,7.46,20.8,-0.875,-2.97,0.901,0.899,0.0007,100,51,4,8.55,N/A
N/A,EV_021_INC-W1,10.58052/IEWDR023R,Sediment,786.1,7.42,20.9,-210.9,-716.75,-9999,-9999,-9999,-9999,-9999,-9999,1.67,RATE_005
N/A,EV_021_INC-W2,10.58052/IEWDR023R,Sediment,789.6,7.47,20.9,-212.7,-707.768,-9999,-9999,-9999,-9999,-9999,-9999,1.61,RATE_005
N/A,EV_021_INC-W3,10.58052/IEWDR023R,Sediment,755,7.43,20.9,-203.1,-689.861,-9999,-9999,-9999,-9999,-9999,-9999,1.93,RATE_005
N/A,EV_021_INC-W4,10.58052/IEWDR023R,Sediment,789.9,7.46,20.9,-227.4,-765.529,-9999,-9999,-9999,-9999,-9999,-9999,1.12,RATE_005
N/A,EV_021_INC-W5,10.58052/IEWDR023R,Sediment,437.2,7.64,20.9,-205.2,-699.545,-9999,-9999,-9999,-9999,-9999,-9999,1.86,RATE_005; INC_013
N/A,EV_022_INC-D1,10.58052/IEWDR023S,Sediment,774.3,7.53,20.9,-1.844,-5.42,0.808,0.804,0.0021,106,54,1,9.63,N/A
N/A,EV_022_INC-D2,10.58052/IEWDR023S,Sediment,782.9,7.45,21,-0.421,-1.241,0.906,0.905,0.0003,106,54,1,9.12,N/A
N/A,EV_022_INC-D3,10.58052/IEWDR023S,Sediment,787.4,7.54,20.9,-0.577,-1.686,0.927,0.926,0.0004,106,54,1,9,N/A
N/A,EV_022_INC-D4,10.58052/IEWDR023S,Sediment,791.3,7.43,21,-0.336,-0.993,0.78,0.775,0.0004,106,54,1,9.02,N/A
N/A,EV_022_INC-D5,10.58052/IEWDR023S,Sediment,787.9,7.49,20.9,-0.505,-1.465,0.946,0.945,0.0003,106,54,1,9.7,N/A
N/A,EV_022_INC-W1,10.58052/IEWDR023S,Sediment,677.6,7.67,20.9,-22.74,-66.427,0.971,0.957,0.0461,6,4,51,5.61,N/A
N/A,EV_022_INC-W2,10.58052/IEWDR023S,Sediment,669.5,7.67,20.7,-102,-304.247,-9999,-9999,-9999,-9999,-9999,-9999,5.3,RATE_005
N/A,EV_022_INC-W3,10.58052/IEWDR023S,Sediment,671.3,7.53,20.9,-121.5,-356.965,-9999,-9999,-9999,-9999,-9999,-9999,4.65,RATE_005
N/A,EV_022_INC-W4,10.58052/IEWDR023S,Sediment,680.1,7.55,20.8,-129.3,-372.706,-9999,-9999,-9999,-9999,-9999,-9999,4.39,RATE_005
N/A,EV_022_INC-W5,10.58052/IEWDR023S,Sediment,600.8,7.54,20.9,-96.9,-285.298,-9999,-9999,-9999,-9999,-9999,-9999,5.47,RATE_005
N/A,EV_023_INC-D1,10.58052/IEWDR023T,Sediment,340.5,7.45,21.2,-250.5,-1272.678,-9999,-9999,-9999,-9999,-9999,-9999,0.35,RATE_005
N/A,EV_023_INC-D2,10.58052/IEWDR023T,Sediment,348.7,7.58,20.8,-259.56,-1331.512,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_023_INC-D3,10.58052/IEWDR023T,Sediment,342.9,7.48,21.3,-259.56,-1360.654,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_023_INC-D4,10.58052/IEWDR023T,Sediment,329,7.58,21,-256.8,-1315.594,-9999,-9999,-9999,-9999,-9999,-9999,0.14,RATE_005
N/A,EV_023_INC-D5,10.58052/IEWDR023T,Sediment,348.2,7.33,21.1,-259.56,-1329.863,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|0.06_mg_per_L_Raw_Not_Corrected|0.06mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_023_INC-W1,10.58052/IEWDR023T,Sediment,327.3,7.5,21.2,-259.56,-1307.479,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_023_INC-W2,10.58052/IEWDR023T,Sediment,350.8,7.41,21.3,-259.56,-1350.324,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_023_INC-W3,10.58052/IEWDR023T,Sediment,345.6,7.42,21.2,-259.56,-1346.626,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_023_INC-W4,10.58052/IEWDR023T,Sediment,365.2,7.38,21.3,-259.56,-1353.384,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_023_INC-W5,10.58052/IEWDR023T,Sediment,366.2,7.41,21.2,-259.56,-1352.525,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-D1,10.58052/IEWDR023U,Sediment,1133,7.25,21.1,-259.56,-1411.54,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-D2,10.58052/IEWDR023U,Sediment,1114,7.37,21.1,-259.56,-1388.725,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-D3,10.58052/IEWDR023U,Sediment,1117,7.23,21.2,-259.56,-1408.51,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-D4,10.58052/IEWDR023U,Sediment,1124,7.37,21,-259.56,-1392.884,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|0.04_mg_per_L_Raw_Not_Corrected|0.04mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-D5,10.58052/IEWDR023U,Sediment,1140,7.22,21.1,-252.3,-1355.823,-9999,-9999,-9999,-9999,-9999,-9999,0.29,RATE_005
N/A,EV_024_INC-W1,10.58052/IEWDR023U,Sediment,1032,7.37,21.1,-259.56,-1346.237,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-W2,10.58052/IEWDR023U,Sediment,1003,7.18,21.3,-259.56,-1356.683,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-W3,10.58052/IEWDR023U,Sediment,1036,7.22,21.4,-237.3,-1256.024,-9999,-9999,-9999,-9999,-9999,-9999,0.79,RATE_005
N/A,EV_024_INC-W4,10.58052/IEWDR023U,Sediment,1045,7.15,21.2,-259.56,-1393.914,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_024_INC-W5,10.58052/IEWDR023U,Sediment,1061,7.15,21.1,-259.56,-1377.441,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.096_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_025_INC-D1,10.58052/IEWDR023V,Sediment,186.6,7.7,20.3,-3.668,-15.794,0.98,0.98,0.0013,98,48,5,8.03,N/A
N/A,EV_025_INC-D2,10.58052/IEWDR023V,Sediment,180.5,7.69,20.5,-7.68,-33.556,0.663,0.55,0.0527,8,5,48,8.97,N/A
N/A,EV_025_INC-D3,10.58052/IEWDR023V,Sediment,163.3,7.7,20.5,-3.15,-13.319,0.982,0.98,0.0018,34,18,35,8.71,N/A
N/A,EV_025_INC-D4,10.58052/IEWDR023V,Sediment,179.1,7.7,20.5,-77.1,-335.142,-9999,-9999,-9999,-9999,-9999,51,7.32,N/A
N/A,EV_025_INC-D5,10.58052/IEWDR023V,Sediment,185.1,7.65,20.4,-12.075,-51.692,0.963,0.956,0.0175,12,7,46,7.42,N/A
N/A,EV_025_INC-W1,10.58052/IEWDR023V,Sediment,244.1,7.22,20.1,-265.83,-1150.836,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_025_INC-W2,10.58052/IEWDR023V,Sediment,234.6,7.33,20.2,-265.83,-1157.207,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|0.03_mg_per_L_Raw_Not_Corrected|0.03mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_025_INC-W3,10.58052/IEWDR023V,Sediment,237.3,7.33,20.4,-240.3,-1047.15,-9999,-9999,-9999,-9999,-9999,-9999,0.9,RATE_005
N/A,EV_025_INC-W4,10.58052/IEWDR023V,Sediment,233.4,7.5,20.4,-265.83,-1144.625,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_025_INC-W5,10.58052/IEWDR023V,Sediment,248.5,7.5,20.3,-265.83,-1164.578,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_026_INC-D1,10.58052/IEWDR023W,Sediment,376.9,7.55,19.8,-5.792,-24.776,0.875,0.864,0.011,24,13,40,11.08,N/A
N/A,EV_026_INC-D2,10.58052/IEWDR023W,Sediment,300.2,7.35,20.6,-7.671,-33.026,0.943,0.932,0.014,12,7,46,7.77,N/A
N/A,EV_026_INC-D3,10.58052/IEWDR023W,Sediment,313.8,7.47,20.3,-7.38,-31.588,0.917,0.905,0.014,16,9,44,9.23,N/A
N/A,EV_026_INC-D4,10.58052/IEWDR023W,Sediment,306.1,7.55,20.3,-6.72,-29.215,0.819,0.728,0.0373,6,4,49,8.23,N/A
N/A,EV_026_INC-D5,10.58052/IEWDR023W,Sediment,306.2,7.56,20.3,-5.62,-24.298,0.952,0.948,0.0059,28,15,38,10.85,N/A
N/A,EV_026_INC-W1,10.58052/IEWDR023W,Sediment,401.4,7.37,20.3,-265.83,-1150.844,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_026_INC-W2,10.58052/IEWDR023W,Sediment,370.4,7.41,20.5,-265.83,-1133.241,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_026_INC-W3,10.58052/IEWDR023W,Sediment,356.3,7.33,20.5,-262.2,-1117.135,-9999,-9999,-9999,-9999,-9999,-9999,0.17,RATE_005
N/A,EV_026_INC-W4,10.58052/IEWDR023W,Sediment,378.9,7.24,20.4,-265.83,-1129.289,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_026_INC-W5,10.58052/IEWDR023W,Sediment,398.8,7.5,20.4,-265.83,-1128.811,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_027_INC-D1,10.58052/IEWDR023X,Sediment,700,7.56,20.5,-0.144,-0.474,0.482,0.472,0.0003,106,54,1,8.92,N/A
N/A,EV_027_INC-D2,10.58052/IEWDR023X,Sediment,699.6,7.58,20.4,-0.346,-1.136,0.754,0.749,0.0005,106,54,1,9.44,N/A
N/A,EV_027_INC-D3,10.58052/IEWDR023X,Sediment,702.6,7.47,20.6,-0.177,-0.566,0.425,0.414,0.0005,106,54,1,7.76,N/A
N/A,EV_027_INC-D4,10.58052/IEWDR023X,Sediment,705.3,7.52,20.5,-0.149,-0.479,0.204,0.188,0.0007,106,54,1,8.42,N/A
N/A,EV_027_INC-D5,10.58052/IEWDR023X,Sediment,693,7.5,20.6,-0.062,-0.207,0.077,0.06,0.0005,106,54,1,7.93,N/A
N/A,EV_027_INC-W1,10.58052/IEWDR023X,Sediment,640.4,7.53,20.5,-110.7,-360.813,-9999,-9999,-9999,-9999,-9999,-9999,5.22,RATE_005
N/A,EV_027_INC-W2,10.58052/IEWDR023X,Sediment,648.7,7.47,20.6,-123.9,-410.273,-9999,-9999,-9999,-9999,-9999,-9999,4.78,RATE_005
N/A,EV_027_INC-W3,10.58052/IEWDR023X,Sediment,645.8,7.47,20.5,-158.4,-509.741,-9999,-9999,-9999,-9999,-9999,-9999,3.63,RATE_005
N/A,EV_027_INC-W4,10.58052/IEWDR023X,Sediment,636.8,7.37,20.5,-132,-443.21,-9999,-9999,-9999,-9999,-9999,-9999,4.51,RATE_005
N/A,EV_027_INC-W5,10.58052/IEWDR023X,Sediment,635.5,7.44,20.5,-160.8,-529.191,-9999,-9999,-9999,-9999,-9999,-9999,3.55,RATE_005
N/A,EV_028_INC-D1,10.58052/IEWDR023Y,Sediment,724.5,7.46,20.6,-265.83,-1224.75,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-D2,10.58052/IEWDR023Y,Sediment,759,7.46,20.5,-265.83,-1212.849,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|0.07_mg_per_L_Raw_Not_Corrected|0.07mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-D3,10.58052/IEWDR023Y,Sediment,753.5,7.39,20.6,-265.83,-1209.234,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-D4,10.58052/IEWDR023Y,Sediment,766.1,7.43,20.7,-265.83,-1177.749,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-D5,10.58052/IEWDR023Y,Sediment,765.8,7.5,20.6,-265.83,-1216.629,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-W1,10.58052/IEWDR023Y,Sediment,729.9,7.48,20.5,-265.83,-1185.452,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005; VI_ALL_007
N/A,EV_028_INC-W2,10.58052/IEWDR023Y,Sediment,715.9,7.35,20.6,-265.83,-1211.679,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-W3,10.58052/IEWDR023Y,Sediment,731.7,7.24,20.5,-265.83,-1220.562,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-W4,10.58052/IEWDR023Y,Sediment,742.3,7.35,20.3,-265.83,-1173.14,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_028_INC-W5,10.58052/IEWDR023Y,Sediment,733.3,7.46,20.4,-265.83,-1266.574,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_029_INC-D1,10.58052/IEWDR023Z,Sediment,678.3,7.09,20.1,-1.899,-5.714,0.762,0.742,0.0051,26,14,41,10,N/A
N/A,EV_029_INC-D2,10.58052/IEWDR023Z,Sediment,667.5,7.23,20.2,-0.788,-2.391,0.976,0.976,0.0003,106,54,1,9.25,N/A
N/A,EV_029_INC-D3,10.58052/IEWDR023Z,Sediment,678.6,7.34,20.2,-5.7,-17.421,0.603,0.404,0.0545,6,4,51,9.86,N/A
N/A,EV_029_INC-D4,10.58052/IEWDR023Z,Sediment,682.8,7.21,19.9,-1.692,-5.1,0.919,0.914,0.002,38,20,35,9.63,N/A
